label,raw_label,start_time_sec,end_time_sec,start_sample,end_sample,segment_kind,segment_source
REST,REST,691.6071510314941,707.6154613494873,172380,176370,rest,inferred_between_active_gaps
LEFT,LEFT,707.6194734573364,715.7961492538452,176371,178409,movement1,marker_1_to_2
REST,REST,715.8001613616943,720.6949329376221,178410,179630,rest,inferred_between_active_gaps
RIGHT,RIGHT,720.6989450454712,728.8675966262817,179631,181667,movement2,marker_3_to_4
REST,REST,728.8716087341309,744.3703813552856,181668,185531,rest,inferred_between_active_gaps
LEFT,LEFT,744.3743934631348,752.6674203872681,185532,187599,movement1,marker_1_to_2
REST,REST,752.6714324951172,757.6464462280273,187600,188840,rest,inferred_between_active_gaps
RIGHT,RIGHT,757.6504583358765,765.8351583480835,188841,190881,movement2,marker_3_to_4
REST,REST,765.8391704559326,780.9567928314209,190882,194650,rest,inferred_between_active_gaps
LEFT,LEFT,780.96080493927,786.0401334762573,194651,195917,movement1,marker_1_to_2
REST,REST,786.0441455841064,820.2634134292603,195918,204447,rest,inferred_between_active_gaps
LEFT,LEFT,820.2674255371094,829.0138206481934,204448,206628,movement1,marker_1_to_2
REST,REST,829.0178327560425,834.2937545776367,206629,207944,rest,inferred_between_active_gaps
RIGHT,RIGHT,834.2977666854858,842.5827693939209,207945,210010,movement2,marker_3_to_4
REST,REST,842.58678150177,849.7564182281494,210011,211798,rest,inferred_between_active_gaps
